Ground truth file: ./Vid_C_juice.avi
frame mean variance /Vid_CPF.txt
148 0.5907134542 0.0000000000 0.5907134542
149 0.5468796805 0.0000000000 0.5468796805
150 0.4896284895 0.0000000000 0.4896284895
151 0.5097709077 0.0000000000 0.5097709077
152 0.5072694596 0.0000000000 0.5072694596
153 0.5236656286 0.0000000000 0.5236656286
154 0.5146764720 0.0000000000 0.5146764720
155 0.4992189164 0.0000000000 0.4992189164
156 0.4934667625 0.0000000000 0.4934667625
157 0.5320444395 0.0000000000 0.5320444395
158 0.5875801296 0.0000000000 0.5875801296
159 0.5633102933 0.0000000000 0.5633102933
160 0.5224085688 0.0000000000 0.5224085688
161 0.5089611766 0.0000000000 0.5089611766
162 0.5315306476 0.0000000000 0.5315306476
163 0.5376498833 0.0000000000 0.5376498833
164 0.4952651501 0.0000000000 0.4952651501
165 0.4886405708 0.0000000000 0.4886405708
166 0.5237857834 0.0000000000 0.5237857834
167 0.5303488303 0.0000000000 0.5303488303
168 0.5294620442 0.0000000000 0.5294620442
169 0.5332557544 0.0000000000 0.5332557544
170 0.5441559893 0.0000000000 0.5441559893
171 0.5249082323 0.0000000000 0.5249082323
172 0.5116080552 0.0000000000 0.5116080552
173 0.4927569017 0.0000000000 0.4927569017
174 0.5580806019 0.0000000000 0.5580806019
175 0.5258092533 0.0000000000 0.5258092533
176 0.4001538468 0.0000000000 0.4001538468
177 0.4908327050 0.0000000000 0.4908327050
178 0.4850991701 0.0000000000 0.4850991701
179 0.4966925321 0.0000000000 0.4966925321
180 0.4966778481 0.0000000000 0.4966778481
181 0.4664541777 0.0000000000 0.4664541777
182 0.5339856049 0.0000000000 0.5339856049
183 0.4530635009 0.0000000000 0.4530635009
184 0.4983900768 0.0000000000 0.4983900768
185 0.5121834919 0.0000000000 0.5121834919
186 0.5252348160 0.0000000000 0.5252348160
187 0.5196285796 0.0000000000 0.5196285796
188 0.4893096411 0.0000000000 0.4893096411
189 0.5000104538 0.0000000000 0.5000104538
190 0.4986945936 0.0000000000 0.4986945936
191 0.4502144951 0.0000000000 0.4502144951
192 0.4381618496 0.0000000000 0.4381618496
193 0.4815311453 0.0000000000 0.4815311453
194 0.4915639638 0.0000000000 0.4915639638
195 0.4192696383 0.0000000000 0.4192696383
196 0.3962042838 0.0000000000 0.3962042838
197 0.4509879611 0.0000000000 0.4509879611
198 0.4827798655 0.0000000000 0.4827798655
199 0.4375091477 0.0000000000 0.4375091477
200 0.4811134657 0.0000000000 0.4811134657
201 0.4903671267 0.0000000000 0.4903671267
202 0.4468204432 0.0000000000 0.4468204432
203 0.4568925341 0.0000000000 0.4568925341
204 0.3872360683 0.0000000000 0.3872360683
205 0.3787316321 0.0000000000 0.3787316321
206 0.3926369534 0.0000000000 0.3926369534
207 0.4624116573 0.0000000000 0.4624116573
208 0.4512123291 0.0000000000 0.4512123291
209 0.4563140271 0.0000000000 0.4563140271
210 0.4756876742 0.0000000000 0.4756876742
211 0.4615046500 0.0000000000 0.4615046500
212 0.4663492776 0.0000000000 0.4663492776
213 0.4700542671 0.0000000000 0.4700542671
214 0.4591388199 0.0000000000 0.4591388199
215 0.4202013339 0.0000000000 0.4202013339
216 0.4754730083 0.0000000000 0.4754730083
217 0.4913758364 0.0000000000 0.4913758364
218 0.4862904866 0.0000000000 0.4862904866
219 0.4745804368 0.0000000000 0.4745804368
220 0.4719437136 0.0000000000 0.4719437136
221 0.4858704690 0.0000000000 0.4858704690
222 0.4880349854 0.0000000000 0.4880349854
223 0.4863435272 0.0000000000 0.4863435272
224 0.5010868281 0.0000000000 0.5010868281
225 0.4795772763 0.0000000000 0.4795772763
226 0.4885342667 0.0000000000 0.4885342667
227 0.4834279217 0.0000000000 0.4834279217
228 0.4497487747 0.0000000000 0.4497487747
229 0.4617934074 0.0000000000 0.4617934074
230 0.4329085668 0.0000000000 0.4329085668
231 0.4454242384 0.0000000000 0.4454242384
232 0.4433339290 0.0000000000 0.4433339290
233 0.4393209911 0.0000000000 0.4393209911
234 0.4443788110 0.0000000000 0.4443788110
235 0.4470143656 0.0000000000 0.4470143656
236 0.4366359821 0.0000000000 0.4366359821
